rowid,hometeam,homescore,awayteam,awayscore,winnerteam,winnerhomeoraway,margin,total
184,Panthers,17,Cardinals,20,Cardinals,away,-3,37
185,Panthers,6,Cardinals,24,Cardinals,away,-18,30
186,Panthers,30,Cardinals,9,Panthers,home,21,39
187,Panthers,13,Cardinals,17,Cardinals,away,-4,30
188,Panthers,24,Cardinals,26,Cardinals,away,-2,50
189,Panthers,28,Cardinals,38,Cardinals,away,-10,66
190,Panthers,17,Cardinals,10,Panthers,home,7,27
191,Panthers,18,Cardinals,17,Panthers,home,1,35
192,Panthers,13,Cardinals,31,Cardinals,away,-18,44
193,Panthers,38,Cardinals,34,Panthers,home,4,72
194,Panthers,34,Cardinals,13,Panthers,home,21,47
195,Panthers,20,Cardinals,10,Panthers,home,10,30
196,Panthers,16,Cardinals,14,Panthers,home,2,30
197,Panthers,17,Cardinals,16,Panthers,home,1,33
198,Panthers,27,Cardinals,0,Panthers,home,27,27
199,Panthers,20,Cardinals,27,Cardinals,away,-7,47
200,Panthers,27,Cardinals,38,Cardinals,away,-11,65
201,Bears,26,Colts,23,Bears,home,3,49
202,Bears,21,Colts,30,Colts,away,-9,51
203,Bears,13,Colts,27,Colts,away,-14,40
204,Bears,0,Colts,23,Colts,away,-23,23
205,Bears,21,Colts,10,Bears,home,11,31
206,Bears,17,Colts,28,Colts,away,-11,45
207,Bears,20,Colts,6,Bears,home,14,26
208,Bears,0,Colts,37,Colts,away,-37,37
209,Bears,24,Colts,10,Bears,home,14,34
210,Bears,28,Colts,24,Bears,home,4,52
211,Bears,14,Colts,16,Colts,away,-2,30
212,Bears,10,Colts,17,Colts,away,-7,27
213,Bears,14,Colts,23,Colts,away,-9,37
214,Bears,21,Colts,20,Bears,home,1,41
215,Bears,28,Colts,23,Bears,home,5,51
216,Bears,10,Colts,23,Colts,away,-13,33
217,Bears,14,Colts,38,Colts,away,-24,52
218,Bears,10,Colts,26,Colts,away,-16,36
219,Bears,24,Colts,16,Bears,home,8,40
220,Bears,3,Colts,32,Colts,away,-29,35
221,Bears,17,Colts,30,Colts,away,-13,47
222,Bears,24,Colts,16,Bears,home,8,40
223,Bears,0,Colts,16,Colts,away,-16,16
224,Bears,10,Colts,14,Colts,away,-4,24
225,Bears,31,Colts,20,Bears,home,11,51
226,Bears,10,Colts,16,Colts,away,-6,26
227,Bears,9,Colts,27,Colts,away,-18,36
228,Bears,20,Colts,17,Bears,home,3,37
229,Bears,3,Colts,6,Colts,away,-3,9
230,Bears,6,Colts,34,Colts,away,-28,40
231,Bears,0,Colts,33,Colts,away,-33,33
232,Bears,13,Colts,24,Colts,away,-11,37
233,Bears,9,Colts,20,Colts,away,-11,29
234,Bears,9,Colts,23,Colts,away,-14,32
235,Bears,14,Colts,24,Colts,away,-10,38
236,Bears,6,Colts,44,Colts,away,-38,50
237,Bears,20,Colts,10,Bears,home,10,30
238,Bears,13,Colts,17,Colts,away,-4,30
239,Bears,7,Colts,20,Colts,away,-13,27
240,Bears,14,Colts,26,Colts,away,-12,40
241,Bears,17,Colts,26,Colts,away,-9,43
242,Bears,14,Colts,42,Colts,away,-28,56
243,Bears,28,Colts,23,Bears,home,5,51
244,Bears,14,Colts,34,Colts,away,-20,48
245,Bears,17,Colts,20,Colts,away,-3,37
246,Bears,10,Colts,16,Colts,away,-6,26
247,Bears,17,Colts,27,Colts,away,-10,44
248,Bears,20,Colts,38,Colts,away,-18,58
249,Bears,31,Colts,17,Bears,home,14,48
250,Bears,0,Colts,13,Colts,away,-13,13
251,Bears,10,Colts,27,Colts,away,-17,37
252,Bears,6,Colts,37,Colts,away,-31,43
253,Bears,14,Colts,41,Colts,away,-27,55
254,Bears,3,Colts,17,Colts,away,-14,20
255,Bears,24,Colts,21,Bears,home,3,45
256,Bears,9,Colts,19,Colts,away,-10,28
257,Bears,10,Colts,16,Colts,away,-6,26
258,Bears,20,Colts,13,Bears,home,7,33
259,Bears,3,Colts,33,Colts,away,-30,36
260,Bears,24,Colts,31,Colts,away,-7,55
261,Bears,28,Colts,20,Bears,home,8,48
262,Bears,7,Colts,20,Colts,away,-13,27
263,Bears,16,Colts,13,Bears,home,3,29
264,Bears,35,Colts,13,Bears,home,22,48
265,Bears,21,Colts,37,Colts,away,-16,58
266,Bears,0,Colts,36,Colts,away,-36,36
267,Bears,28,Colts,23,Bears,home,5,51
268,Bears,14,Colts,34,Colts,away,-20,48
269,Bears,12,Colts,36,Colts,away,-24,48
270,Bears,10,Colts,11,Colts,away,-1,21
271,Bears,14,Colts,17,Colts,away,-3,31
272,Bears,21,Colts,34,Colts,away,-13,55
273,Bears,21,Colts,26,Colts,away,-5,47
274,Bears,13,Colts,23,Colts,away,-10,36
275,Bears,6,Colts,17,Colts,away,-11,23
276,Bears,14,Colts,21,Colts,away,-7,35
277,Bears,31,Colts,41,Colts,away,-10,72
278,Bears,40,Colts,3,Bears,home,37,43
279,Bears,6,Colts,45,Colts,away,-39,51
280,Bears,30,Colts,10,Bears,home,20,40
281,Bears,14,Colts,20,Colts,away,-6,34
282,Bears,21,Colts,38,Colts,away,-17,59
283,Bears,7,Colts,13,Colts,away,-6,20
284,Bears,17,Colts,20,Colts,away,-3,37
285,Bears,24,Colts,28,Colts,away,-4,52
286,Bears,17,Colts,3,Bears,home,14,20
287,Bears,6,Colts,26,Colts,away,-20,32
288,Bears,16,Colts,37,Colts,away,-21,53
289,Bears,3,Colts,24,Colts,away,-21,27
290,Bears,23,Colts,10,Bears,home,13,33
291,Bears,7,Colts,9,Colts,away,-2,16
292,Bears,31,Colts,12,Bears,home,19,43
293,Bears,13,Colts,37,Colts,away,-24,50
294,Bears,17,Colts,10,Bears,home,7,27
295,Bears,10,Colts,40,Colts,away,-30,50
296,Bears,24,Colts,13,Bears,home,11,37
297,Bears,10,Colts,9,Bears,home,1,19
298,Bears,10,Colts,17,Colts,away,-7,27
299,Bears,49,Colts,16,Bears,home,33,65
300,Bears,14,Colts,16,Colts,away,-2,30
301,Bengals,10,Jaguars,31,Jaguars,away,-21,41
302,Bengals,13,Jaguars,24,Jaguars,away,-11,37
303,Bengals,23,Jaguars,14,Bengals,home,9,37
304,Bengals,13,Jaguars,7,Bengals,home,6,20
305,Bengals,26,Jaguars,14,Bengals,home,12,40
306,Bengals,20,Jaguars,10,Bengals,home,10,30
307,Bengals,17,Jaguars,14,Bengals,home,3,31
308,Bengals,22,Jaguars,0,Bengals,home,22,22
309,Bengals,13,Jaguars,14,Jaguars,away,-1,27
310,Bengals,7,Jaguars,24,Jaguars,away,-17,31
311,Bengals,20,Jaguars,7,Bengals,home,13,27
312,Bengals,34,Jaguars,9,Bengals,home,25,43
313,Bengals,20,Jaguars,7,Bengals,home,13,27
314,Bengals,17,Jaguars,7,Bengals,home,10,24
315,Bengals,28,Jaguars,21,Bengals,home,7,49
316,Bengals,16,Jaguars,14,Bengals,home,2,30
317,Bengals,37,Jaguars,49,Jaguars,away,-12,86
318,Bengals,45,Jaguars,17,Bengals,home,28,62
319,Bengals,10,Jaguars,17,Jaguars,away,-7,27
320,Bengals,30,Jaguars,3,Bengals,home,27,33
321,Bengals,3,Jaguars,35,Jaguars,away,-32,38
322,Bengals,27,Jaguars,24,Bengals,home,3,51
323,Bengals,10,Jaguars,17,Jaguars,away,-7,27
324,Bengals,24,Jaguars,35,Jaguars,away,-11,59
325,Bengals,21,Jaguars,6,Bengals,home,15,27
326,Bengals,29,Jaguars,0,Bengals,home,29,29
327,Bengals,23,Jaguars,14,Bengals,home,9,37
328,Bengals,6,Jaguars,35,Jaguars,away,-29,41
329,Bengals,17,Jaguars,38,Jaguars,away,-21,55
330,Bengals,13,Jaguars,28,Jaguars,away,-15,41
331,Bengals,27,Jaguars,31,Jaguars,away,-4,58
332,Bengals,17,Jaguars,28,Jaguars,away,-11,45
333,Bengals,27,Jaguars,24,Bengals,home,3,51
334,Bengals,34,Jaguars,10,Bengals,home,24,44
335,Bengals,10,Jaguars,37,Jaguars,away,-27,47
336,Bengals,17,Jaguars,21,Jaguars,away,-4,38
337,Bengals,10,Jaguars,21,Jaguars,away,-11,31
338,Bengals,30,Jaguars,21,Bengals,home,9,51
339,Bengals,13,Jaguars,35,Jaguars,away,-22,48
340,Bengals,17,Jaguars,38,Jaguars,away,-21,55
341,Bengals,20,Jaguars,14,Bengals,home,6,34
342,Bengals,26,Jaguars,14,Bengals,home,12,40
343,Bengals,10,Jaguars,17,Jaguars,away,-7,27
344,Bengals,6,Jaguars,3,Bengals,home,3,9
345,Bengals,15,Jaguars,3,Bengals,home,12,18
346,Bengals,20,Jaguars,24,Jaguars,away,-4,44
347,Bengals,17,Jaguars,14,Bengals,home,3,31
348,Bengals,19,Jaguars,9,Bengals,home,10,28
349,Bengals,10,Jaguars,21,Jaguars,away,-11,31
350,Bengals,17,Jaguars,35,Jaguars,away,-18,52
351,Bengals,14,Jaguars,48,Jaguars,away,-34,62
352,Bengals,13,Jaguars,17,Jaguars,away,-4,30
353,Bengals,17,Jaguars,35,Jaguars,away,-18,52
354,Bengals,10,Jaguars,27,Jaguars,away,-17,37
355,Bengals,34,Jaguars,21,Bengals,home,13,55
356,Bengals,0,Jaguars,42,Jaguars,away,-42,42
357,Bengals,34,Jaguars,38,Jaguars,away,-4,72
358,Bengals,20,Jaguars,21,Jaguars,away,-1,41
359,Bengals,10,Jaguars,7,Bengals,home,3,17
360,Bengals,9,Jaguars,17,Jaguars,away,-8,26
361,Bengals,17,Jaguars,20,Jaguars,away,-3,37
362,Bengals,17,Jaguars,35,Jaguars,away,-18,52
363,Bengals,24,Jaguars,17,Bengals,home,7,41
364,Bengals,19,Jaguars,28,Jaguars,away,-9,47
365,Bengals,6,Jaguars,21,Jaguars,away,-15,27
366,Bengals,14,Jaguars,28,Jaguars,away,-14,42
367,Bengals,24,Jaguars,28,Jaguars,away,-4,52
368,Bengals,19,Jaguars,35,Jaguars,away,-16,54
369,Bengals,20,Jaguars,14,Bengals,home,6,34
370,Bengals,37,Jaguars,17,Bengals,home,20,54
371,Bengals,17,Jaguars,28,Jaguars,away,-11,45
372,Bengals,10,Jaguars,21,Jaguars,away,-11,31
373,Bengals,13,Jaguars,42,Jaguars,away,-29,55
374,Bengals,13,Jaguars,28,Jaguars,away,-15,41
375,Bengals,14,Jaguars,28,Jaguars,away,-14,42
376,Bengals,3,Jaguars,14,Jaguars,away,-11,17
377,Bengals,13,Jaguars,0,Bengals,home,13,13
378,Bengals,13,Jaguars,31,Jaguars,away,-18,44
379,Bengals,6,Jaguars,14,Jaguars,away,-8,20
380,Bengals,20,Jaguars,35,Jaguars,away,-15,55
381,Bengals,28,Jaguars,14,Bengals,home,14,42
382,Bengals,31,Jaguars,14,Bengals,home,17,45
383,Bengals,14,Jaguars,7,Bengals,home,7,21
384,Bengals,14,Jaguars,3,Bengals,home,11,17
385,Bengals,20,Jaguars,24,Jaguars,away,-4,44
386,Bengals,21,Jaguars,31,Jaguars,away,-10,52
387,Bengals,10,Jaguars,13,Jaguars,away,-3,23
388,Bengals,16,Jaguars,24,Jaguars,away,-8,40
389,Bengals,17,Jaguars,21,Jaguars,away,-4,38
390,Bengals,19,Jaguars,10,Bengals,home,9,29
391,Bengals,21,Jaguars,14,Bengals,home,7,35
392,Bengals,13,Jaguars,31,Jaguars,away,-18,44
393,Bengals,27,Jaguars,10,Bengals,home,17,37
394,Bengals,3,Jaguars,31,Jaguars,away,-28,34
395,Bengals,17,Jaguars,7,Bengals,home,10,24
396,Bengals,7,Jaguars,31,Jaguars,away,-24,38
397,Bengals,3,Jaguars,31,Jaguars,away,-28,34
398,Bengals,16,Jaguars,38,Jaguars,away,-22,54
399,Bengals,0,Jaguars,38,Jaguars,away,-38,38
400,Bengals,6,Jaguars,35,Jaguars,away,-29,41
401,Cowboys,33,Browns,45,Browns,away,-12,78
402,Cowboys,33,Browns,14,Cowboys,home,19,47
403,Cowboys,27,Browns,13,Cowboys,home,14,40
404,Cowboys,49,Browns,20,Cowboys,home,29,69
405,Cowboys,27,Browns,33,Browns,away,-6,60
406,Cowboys,27,Browns,16,Cowboys,home,11,43
407,Cowboys,31,Browns,19,Cowboys,home,12,50
408,Cowboys,17,Browns,31,Browns,away,-14,48
409,Cowboys,20,Browns,29,Browns,away,-9,49
410,Cowboys,24,Browns,29,Browns,away,-5,53
411,Cowboys,15,Browns,20,Browns,away,-5,35
412,Cowboys,38,Browns,34,Cowboys,home,4,72
413,Cowboys,20,Browns,25,Browns,away,-5,45
414,Cowboys,42,Browns,19,Cowboys,home,23,61
415,Cowboys,24,Browns,19,Cowboys,home,5,43
416,Cowboys,20,Browns,9,Cowboys,home,11,29
417,Cowboys,27,Browns,24,Cowboys,home,3,51
418,Cowboys,24,Browns,35,Browns,away,-11,59
419,Cowboys,17,Browns,9,Cowboys,home,8,26
420,Cowboys,24,Browns,31,Browns,away,-7,55
421,Cowboys,45,Browns,13,Cowboys,home,32,58
422,Cowboys,23,Browns,13,Cowboys,home,10,36
423,Cowboys,52,Browns,34,Cowboys,home,18,86
424,Cowboys,33,Browns,13,Cowboys,home,20,46
425,Cowboys,31,Browns,41,Browns,away,-10,72
426,Cowboys,21,Browns,49,Browns,away,-28,70
427,Cowboys,34,Browns,24,Cowboys,home,10,58
428,Cowboys,34,Browns,20,Cowboys,home,14,54
429,Cowboys,13,Browns,10,Cowboys,home,3,23
430,Cowboys,17,Browns,48,Browns,away,-31,65
431,Cowboys,21,Browns,34,Browns,away,-13,55
432,Cowboys,30,Browns,28,Cowboys,home,2,58
433,Cowboys,17,Browns,31,Browns,away,-14,48
434,Cowboys,27,Browns,40,Browns,away,-13,67
435,Cowboys,38,Browns,34,Cowboys,home,4,72
436,Cowboys,31,Browns,23,Cowboys,home,8,54
437,Cowboys,28,Browns,27,Cowboys,home,1,55
438,Cowboys,6,Browns,16,Browns,away,-10,22
439,Cowboys,35,Browns,27,Cowboys,home,8,62
440,Cowboys,24,Browns,27,Browns,away,-3,51
441,Cowboys,41,Browns,36,Cowboys,home,5,77
442,Cowboys,20,Browns,17,Cowboys,home,3,37
443,Cowboys,23,Browns,19,Cowboys,home,4,42
444,Cowboys,28,Browns,27,Cowboys,home,1,55
445,Cowboys,24,Browns,27,Browns,away,-3,51
446,Cowboys,27,Browns,10,Cowboys,home,17,37
447,Cowboys,24,Browns,20,Cowboys,home,4,44
448,Cowboys,34,Browns,14,Cowboys,home,20,48
449,Cowboys,13,Browns,23,Browns,away,-10,36
450,Cowboys,14,Browns,31,Browns,away,-17,45
451,Cowboys,13,Browns,30,Browns,away,-17,43
452,Cowboys,23,Browns,16,Cowboys,home,7,39
453,Cowboys,20,Browns,45,Browns,away,-25,65
454,Cowboys,24,Browns,34,Browns,away,-10,58
455,Cowboys,44,Browns,6,Cowboys,home,38,50
456,Cowboys,41,Browns,24,Cowboys,home,17,65
457,Cowboys,23,Browns,30,Browns,away,-7,53
458,Cowboys,16,Browns,38,Browns,away,-22,54
459,Cowboys,35,Browns,27,Cowboys,home,8,62
460,Cowboys,23,Browns,35,Browns,away,-12,58
461,Cowboys,16,Browns,6,Cowboys,home,10,22
462,Cowboys,44,Browns,13,Cowboys,home,31,57
463,Cowboys,13,Browns,23,Browns,away,-10,36
464,Cowboys,44,Browns,20,Cowboys,home,24,64
465,Cowboys,14,Browns,54,Browns,away,-40,68
466,Cowboys,3,Browns,41,Browns,away,-38,44
467,Cowboys,35,Browns,24,Cowboys,home,11,59
468,Cowboys,31,Browns,27,Cowboys,home,4,58
469,Cowboys,10,Browns,20,Browns,away,-10,30
470,Cowboys,42,Browns,10,Cowboys,home,32,52
471,Cowboys,27,Browns,30,Browns,away,-3,57
472,Cowboys,30,Browns,9,Cowboys,home,21,39
473,Cowboys,27,Browns,23,Cowboys,home,4,50
474,Cowboys,55,Browns,48,Cowboys,home,7,103
475,Cowboys,35,Browns,29,Cowboys,home,6,64
476,Cowboys,31,Browns,40,Browns,away,-9,71
477,Cowboys,24,Browns,17,Cowboys,home,7,41
478,Cowboys,31,Browns,15,Cowboys,home,16,46
479,Cowboys,21,Browns,50,Browns,away,-29,71
480,Cowboys,0,Browns,44,Browns,away,-44,44
481,Cowboys,27,Browns,20,Cowboys,home,7,47
482,Cowboys,17,Browns,49,Browns,away,-32,66
483,Cowboys,30,Browns,26,Cowboys,home,4,56
484,Cowboys,20,Browns,38,Browns,away,-18,58
485,Cowboys,6,Browns,33,Browns,away,-27,39
486,Cowboys,41,Browns,44,Browns,away,-3,85
487,Cowboys,20,Browns,30,Browns,away,-10,50
488,Cowboys,21,Browns,26,Browns,away,-5,47
489,Cowboys,14,Browns,19,Browns,away,-5,33
490,Cowboys,13,Browns,66,Browns,away,-53,79
491,Cowboys,69,Browns,21,Cowboys,home,48,90
492,Cowboys,10,Browns,19,Browns,away,-9,29
493,Cowboys,42,Browns,33,Cowboys,home,9,75
494,Cowboys,19,Browns,34,Browns,away,-15,53
495,Cowboys,20,Browns,27,Browns,away,-7,47
496,Cowboys,38,Browns,17,Cowboys,home,21,55
497,Cowboys,49,Browns,23,Cowboys,home,26,72
498,Cowboys,28,Browns,33,Browns,away,-5,61
499,Cowboys,13,Browns,30,Browns,away,-17,43
500,Cowboys,38,Browns,45,Browns,away,-7,83
501,Lions,6,Saints,17,Saints,away,-11,23
502,Lions,17,Saints,34,Saints,away,-17,51
503,Lions,16,Saints,30,Saints,away,-14,46
504,Lions,23,Saints,13,Lions,home,10,36
505,Lions,3,Saints,14,Saints,away,-11,17
506,Lions,14,Saints,30,Saints,away,-16,44
507,Lions,20,Saints,19,Lions,home,1,39
508,Lions,21,Saints,9,Lions,home,12,30
509,Lions,20,Saints,13,Lions,home,7,33
